"","id","site","sex","age","viewcat","setting","viewenc","prebody","prelet","preform","prenumb","prerelat","preclasf","postbody","postlet","postform","postnumb","postrelat","postclasf","peabody","agecat","encour","regular","improvelet","improveform","improvenumb","improverelat","improveclasf","improvebody"
"1",1,1,0,66,1,1,0,16,23,12,40,14,20,18,30,14,44,14,23,62,1,1,0,7,2,4,0,3,2
"2",2,1,1,67,3,1,0,30,26,9,39,16,22,30,37,17,39,14,22,8,1,1,1,11,8,0,-2,0,0
"3",3,1,0,56,3,1,1,22,14,9,9,9,8,21,46,15,40,9,19,32,1,0,1,32,6,31,0,11,-1
"4",4,1,0,49,1,1,1,23,11,10,14,9,13,21,14,13,19,8,15,27,0,0,0,3,3,5,-1,2,-2
"5",5,1,0,69,4,1,1,32,47,15,51,17,22,32,58,18,54,14,21,71,1,0,1,16,3,3,-3,-1,0
"6",6,1,1,54,3,1,1,29,26,10,33,14,14,27,36,14,39,16,24,32,1,0,1,10,4,6,2,10,-2
"7",7,1,1,47,3,1,1,23,12,11,13,11,12,22,45,12,44,12,15,28,0,0,1,33,1,31,1,3,-1
"8",8,1,0,51,2,1,0,32,48,19,52,15,23,31,47,18,51,17,23,38,0,1,1,-1,-1,-1,2,0,-1
"9",9,1,0,69,4,1,0,27,44,18,42,15,20,32,50,17,48,14,24,49,1,1,1,6,-1,6,-1,4,5
"10",10,1,1,53,3,1,0,30,38,17,31,10,17,32,52,19,52,17,24,32,1,1,1,14,2,21,7,7,2
"11",11,1,1,58,2,1,1,25,48,14,38,16,18,26,52,15,42,10,17,43,1,0,1,4,1,4,-6,-1,1
"12",12,1,1,58,4,1,1,21,25,13,29,16,21,17,29,15,40,10,19,58,1,0,1,4,2,11,-6,-2,-4
"13",13,1,1,49,1,1,1,28,8,9,13,8,12,20,16,9,18,10,13,39,0,0,0,8,0,5,2,1,-8
"14",14,1,0,64,2,1,0,26,11,15,21,10,15,26,28,15,35,16,14,43,1,1,1,17,0,14,6,-1,0
"15",15,1,1,58,2,1,0,23,15,9,16,9,11,28,21,10,22,10,17,56,1,1,1,6,1,6,1,6,5
"16",16,1,0,49,3,1,0,25,12,17,24,12,18,28,45,14,45,13,21,37,0,1,1,33,-3,21,1,3,3
"17",17,1,0,57,2,1,0,25,15,13,16,10,18,25,24,16,28,8,18,43,1,1,1,9,3,12,-2,0,0
"18",18,1,0,45,4,1,0,16,12,8,11,6,3,25,16,11,17,9,9,29,0,1,1,4,3,6,3,6,9
"19",19,1,0,45,3,1,0,25,16,12,23,10,13,32,46,18,35,14,19,45,0,1,1,30,6,12,4,6,7
"20",20,1,0,60,3,1,1,19,19,8,23,14,10,28,50,12,38,12,13,51,1,0,1,31,4,15,-2,3,9
"21",21,1,1,65,4,1,0,29,24,14,41,10,23,29,48,20,51,15,24,55,1,1,1,24,6,10,5,1,0
"22",22,1,0,44,4,0,0,25,15,17,22,11,16,32,42,19,45,15,19,49,0,1,1,27,2,23,4,3,7
"23",23,1,1,38,3,0,0,20,9,2,7,8,9,22,23,17,19,15,14,31,0,1,1,14,15,12,7,5,2
"24",24,1,0,35,4,0,0,11,6,8,16,8,9,22,27,16,20,14,15,40,0,1,1,21,8,4,6,6,11
"25",25,1,1,42,2,0,0,15,7,8,11,12,7,14,13,7,21,12,10,48,0,1,1,6,-1,10,0,3,-1
"26",26,1,1,50,2,0,0,26,14,10,36,13,17,25,18,14,42,13,18,35,0,1,1,4,4,6,0,1,-1
"27",27,1,0,61,4,1,1,28,42,16,40,16,11,24,27,15,20,14,14,62,1,0,1,-15,-1,-20,-2,3,-4
"28",28,1,1,34,4,0,0,17,13,7,10,5,11,21,17,13,13,10,15,42,0,1,1,4,6,3,5,4,4
"29",29,1,0,60,3,0,1,23,13,9,23,11,14,28,20,18,45,14,21,58,1,0,1,7,9,22,3,7,5
"30",30,1,1,39,2,0,0,11,5,5,5,5,1,27,15,13,9,8,12,29,0,1,1,10,8,4,3,11,16
"31",31,1,0,39,3,0,0,24,4,11,25,11,17,21,11,12,13,9,10,49,0,1,1,7,1,-12,-2,-7,-3
"32",32,1,1,41,2,0,0,24,8,3,14,8,8,21,17,10,18,9,14,30,0,1,1,9,7,4,1,6,-3
